GV12|SEQ00198
GV17|SEQ00795
GV15|SEQ00108
GV34|SEQ00739
GV33|SEQ00886
GV14|SEQ01043
GV13|SEQ01127
GV22|SEQ01162
GV18|SEQ00549
GV20|SEQ00603
GV16|SEQ00672
GV21|SEQ00875
GV30|SEQ00945
GV23|SEQ00769
GV26|SEQ01340
GV27|SEQ00915
GV29|SEQ01100
GV31|SEQ00749
GV32|SEQ00742
GV35|SEQ00616
GV28|SEQ01176
THE1|SEQ00971
LON3|SEQ00423
LON2|SEQ00616
LON1|SEQ00556
LON4|SEQ00789
INF1|SEQ00817
GV25|SEQ00627
GV19|SEQ00952
GV24|SEQ00016
BRE2|SEQ00955
BRE3|SEQ00923
BRE7|SEQ00905
BRE9|SEQ00988
BRE4|SEQ00905
BRE5|SEQ00924
BRE8|SEQ00935
BRE6|SEQ00757
DEN2|SEQ00568
DEN1|SEQ01635
GV10|SEQ00756
GV06|SEQ00695
GV05|SEQ00987
GV07|SEQ00343
GV03|SEQ00940
GV01|SEQ00339
GV02|SEQ00716
GV11|SEQ00937
GV09|SEQ00734
GV04|SEQ00877
GV08|SEQ00658
GV19|SEQ00951
ANI2|SEQ00898
ANI3|SEQ00901
BIF1|SEQ00814
BRE1|SEQ00873
ADO1|SEQ01243
ANI1|SEQ00899
