GV12|SEQ00658
GV17|SEQ00477
GV15|SEQ00545
GV14|SEQ00517
GV33|SEQ00059
GV34|SEQ00052
GV22|SEQ00679
GV16|SEQ00254
GV24|SEQ00240
GV30|SEQ00878
GV18|SEQ00969
GV19|SEQ00028
GV20|SEQ01280
GV21|SEQ00142
GV31|SEQ00778
GV35|SEQ00397
GV32|SEQ00620
GV25|SEQ00454
GV29|SEQ00534
GV26|SEQ00181
GV23|SEQ00492
GV13|SEQ00183
GV28|SEQ00394
LON3|SEQ00972
LON2|SEQ01146
LON4|SEQ00270
INF1|SEQ00252
LON1|SEQ01088
THE1|SEQ01545
BRE2|SEQ00332
BRE7|SEQ00298
BRE4|SEQ00286
BRE9|SEQ00374
BRE8|SEQ00324
BRE5|SEQ00308
BRE6|SEQ00540
BRE3|SEQ00321
GV08|SEQ01094
GV04|SEQ00148
GV09|SEQ00012
GV06|SEQ00221
GV11|SEQ00831
GV01|SEQ00818
GV10|SEQ00127
GV02|SEQ00044
GV03|SEQ00233
GV07|SEQ00013
GV05|SEQ00334
GV27|SEQ00472
ANI2|SEQ01407
ANI3|SEQ01417
BRE1|SEQ00270
BIF1|SEQ00201
ADO1|SEQ01398
ANI1|SEQ01408
